date,transactions,sales,sales_transactions,cash_sales,cashless_transactions,cashless_kind,cashless_sales,cashless_sales_kind,customers,Customer_unit_price,store_horiday
2021/06/3,73,55479,48,35655,25,交通系IC(11)/MASTER(4)/WAON(1)/iD(4)/JCB(4)/選択なし(1),19826,交通系IC(8204)/MASTER(3422)/WAON(346)/iD(3939)/JCB(3424)/選択なし(491),73,760,0
2021/06/4,46,38320,27,19663,18,JCB(3)/交通系IC(7)/MASTER(6)/選択なし(2),18407,JCB(1314)/交通系IC(8494)/MASTER(7188)/選択なし(1411),46,833,0
2021/06/5,128,130598,80,78045,48,WAON(2)/iD(4)/JCB(7)/MASTER(13)/交通系IC(18)/選択なし(2)/QUICPay(2),52552,WAON(1548)/iD(4135)/JCB(8688)/MASTER(21056)/交通系IC(13815)/選択なし(2175)/QUICPay(1135),128,1020,0
2021/06/6,95,85603,55,40942,40,iD(5)/MASTER(10)/交通系IC(16)/JCB(5)/QUICPay(2)/WAON(1)/選択なし(1),44662,iD(3757)/MASTER(14058)/交通系IC(15971)/JCB(6497)/QUICPay(2126)/WAON(611)/選択なし(1642),95,901,0
2021/06/7,0,0,0,0,0,,0,,0,0,1
2021/06/8,72,57400,47,38745,25,交通系IC(13)/JCB(3)/MASTER(6)/iD(2)/選択なし(1),18656,交通系IC(7498)/JCB(2966)/MASTER(5828)/iD(1593)/選択なし(771),72,797,0
2021/06/9,64,62369,32,33966,32,MASTER(9)/JCB(4)/交通系IC(16)/iD(2)/QUICPay(1),28402,MASTER(10331)/JCB(4178)/交通系IC(12128)/iD(1314)/QUICPay(451),64,975,0
2021/06/10,60,53397,35,32247,25,MASTER(5)/交通系IC(15)/QUICPay(2)/iD(2)/WAON(1),21150,MASTER(3161)/交通系IC(12061)/QUICPay(1555)/iD(3873)/WAON(500),60,890,0
2021/06/11,51,49470,28,28670,23,JCB(2)/iD(2)/交通系IC(10)/MASTER(8)/選択なし(1),20800,JCB(3237)/iD(1924)/交通系IC(5492)/MASTER(9487)/選択なし(660),51,970,0
2021/06/12,102,106156,60,60126,42,MASTER(18)/交通系IC(16)/WAON(2)/JCB(1)/iD(2)/選択なし(2)/QUICPay(1),46029,MASTER(22582)/交通系IC(15496)/WAON(1400)/JCB(1041)/iD(1583)/選択なし(3364)/QUICPay(563),102,1041,0
2021/06/13,83,77438,55,48043,28,選択なし(3)/交通系IC(15)/iD(3)/MASTER(4)/QUICPay(2)/JCB(1),29394,選択なし(4093)/交通系IC(14774)/iD(3045)/MASTER(5541)/QUICPay(1191)/JCB(750),83,933,0
2021/06/14,0,0,0,0,0,,0,,0,0,1
2021/06/15,68,51629,38,26097,30,MASTER(8)/WAON(2)/交通系IC(10)/iD(3)/JCB(7),25532,MASTER(6571)/WAON(1261)/交通系IC(7992)/iD(2887)/JCB(6821),68,759,0
2021/06/16,44,39943,26,26924,18,交通系IC(8)/iD(3)/MASTER(4)/選択なし(1)/JCB(1)/WAON(1),13019,交通系IC(6809)/iD(1292)/MASTER(3301)/選択なし(335)/JCB(681)/WAON(601),44,908,0
2021/06/17,74,54734,49,33853,25,MASTER(5)/QUICPay(1)/交通系IC(14)/iD(3)/JCB(2),20881,MASTER(4088)/QUICPay(625)/交通系IC(12040)/iD(2116)/JCB(2012),74,740,0
2021/06/18,72,57368,54,44793,18,JCB(1)/交通系IC(11)/WAON(1)/iD(2)/QUICPay(1)/MASTER(2),12574,JCB(884)/交通系IC(7205)/WAON(611)/iD(1771)/QUICPay(661)/MASTER(1442),72,797,0
